Movie Tracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,First month,,Getting in the groove,,,First rewatches,,,BR2049 and Endgame,,,The Tarantino Experience,,,Lotta free time...,,,"Back home, held back on movies",,,"Preparing for VT, Bilal's first R",,,Focusing on school,,,Joker with the lads,,,"Back into it, Thxgiving break",,,"Movies w/the lads, 1st semester ends",,
January,Date,Rating,February,Date,Rating,March,Date,Rating,April,Date,Rating,May,Date,Rating,June,Date,Rating,July,Date,Rating,August,Date,Rating,September,Date,Rating,October,Date,Rating,November,Date,Rating,December,Date,Rating
Arrival,1,5,Velvet Buzzsaw,2,2.5,Birdman,1,4.5,Se7en,2,4.5,Requiem for a Dream,4,4,Going in Style,1,2,ANIMA,1,4,Seven Samurai,1,4.5,IT,1,3.5,The Informant!,3,3.5,Blind Shaft,5,3,Phantom Thread,1,4.5
Moana,1,3,Eighth Grade,4,3,Shaft,3,2.5,Mad Max: Fury Road,3,4.5,Dunkirk,5,4.5,Horrible Bosses,2,4,Annihilation,1,3,Strangers on a Train,1,3.5,Rush Hour,27,4.5,Good Time,5,4.5,Midsommar,17,3.5,Nightcrawler,7,5
Prisoners,2,5,Gone Baby Gone,5,4,Gone Girl,6,4.5,Sicario,5,4.5,Psycho,8,4,Mulholland Drive,3,3.5,Rise of the Planet of the Apes,1,3.5,Incendies,2,4.5,,,,Superbad,6,4,Hostiles,18,3.5,Se7en,8,5
"Crazy, Stupid, Love",2,3.5,Moon,5,4,Life,7,3.5,The Death of Stalin,6,4,Demolition,9,3.5,Fargo,4,4.5,Aliens,2,4.5,Avengers: Endgame,2,5,,,,Sin Nombre,7,3,Ex Machina,19,4.5,Star Wars: The Phantom Menace,9,2
The Ballad of Buster Scruggs,3,3.5,Zodiac,8,4.5,American Psycho,10,4,Blade Runner,13,4.5,District 9,9,3.5,The Blues Brothers,5,4,Independence Day,2,1.5,12 Angry Men,3,5,,,,Taxi Driver,8,4,Prisoners,22,5,The Lighthouse,9,4
12 Years a Slave,4,4.5,Darkest Hour,10,3.5,In Bruges,12,3,Iron Man,15,5,John Wick,10,4,Interstellar,5,5,Roma,3,4,Jackie Brown,4,3.5,,,,Joker,11,4,Star Wars: The Force Awakens,23,4,Parasite,16,5
The Grand Budapest Hotel,9,4.5,Room,10,4.5,Transformers,13,3.5,Iron Man 2,15,3.5,The Big Short,13,5,There Will Be Blood,6,5,Mission Impossible: Ghost Protocol,4,4.5,The Favourite,4,4,,,,Airplane!,12,4,Nocturnal Animals,24,4,Harry Potter and the Philosopher's Stone,17,3.5
Django Unchained,10,4,Solo: A Star Wars Story,13,3,Batman Begins,16,4,The Avengers,16,4.5,John Wick: Chapter 2,13,4,Kill Bill: Vol. 1,6,4.5,"Three Billboards, outside Ebbing, Missouri",4,4,Boogie Nights,6,4.5,,,,Ip Man,20,4,Rounders,24,3.5,Star Wars: Attack of the Clones,18,2.5
