2019,Movies in a month,Monthly Averages,Rewatches for the first time on LB,Multiple Rewatches,2019 Films,Must Watches Completed,2020,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2020 Films,Must Watches Completed,2021,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2021 Films,Must Watches Completed,2022,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2022 Films,Must Watches Completed,2023,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2023 Films,Must Watches Completed,2024,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2024 Films,Must Watches Completed,2025,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2025 Films,Must Watches Completed
January '19,15,3.83,Transformers,Avengers: Infinity War,Velvet Buzzsaw,American Psycho,January '20,32,3.84,The Other Guys,Oldboy,Blade Runner 2049,Bad Boys For Life,The Matrix,January '21,5,4.30,Shutter Island,TENET,Interstellar,Judas and the Black Messiah,TENET,January '22,31,3.95,Ted,The Batman,Blade Runner,The Batman,The Invisible Man,January '23,14,3.43,Puss in Boots,,John Wick,Guardians of the Galaxy Vol. 3,GdT's Pinocchio,January '24,9,4.22,Training Day,,North By Northwest,Greatest Night in Pop,Planet of the Apes,January '25,13,3.54,Scooby Doo,,Se7en,,Nosferatu: A Symphony of Horror
February '19,11,3.73,Batman Begins,Batman Begins,Avengers: Endgame,Whiplash,February '20,16,3.81,South Park: BLU,Green Room,Dunkirk,1917,Citizen Kane,February '21,10,3.65,Basic Instinct,,Sicario,The Woman in the Window,The Tree of Life,February '22,3,3.83,Anchorman: The Legend of Ron Burgundy,It's a Wonderful Life,Ford v. Ferrari,Jujutsu Kaisen 0,M,February '23,1,3.50,Man of Steel,,Superbad,Air,Rush,February '24,4,3.75,X-Men,,Blade Runner,Dune: Part Two,La Jetee,February '25,6,3.25,,,Transformers: Revenge of the Fallen,,
March '19,17,3.91,The Dark Knight,The Dark Knight,Booksmart,Blade Runner,March '20,21,4.02,Drive,Kiss Kiss Bang Bang,Blade Runner 2049,The Gentleman,Oldboy,March '21,9,3.83,Guardians of the Galaxy Vol. 2,,No Country for Old Men,Nobody,The Cabin in the Woods,March '22,12,4.21,,,Blade Runner 2049,The Outfit,The Great Dictator,March '23,3,3.83,Batman v. Superman: Dawn of Justice,,Spider-Man: Into the Spider-Verse,Spider-Man: Across the Spider-Verse,Dr. No,March '24,5,4.10,X2,,Blade Runner 2049,The Fall Guy,12 Monkeys,March '25,1,3.00,,,Transformers: Dark of the Moon,,
April '19,21,4.29,The Dark Knight Rises,The Dark Knight Rises,Shaft,Blade Runner 2049,April '20,3,3.50,Rush Hour 2,Iron Man 3,The Nice Guys,The Way Back,Jojo Rabbit,April '21,4,4.00,Spider-Man: Homecoming,,Thor: Ragnarok,A Quiet Place Part II,Promising Young Woman,April '22,6,4.00,,,Casino Royale,"Everything, Everywhere, All At Once",The Bridge on the River Kwai,April '23,3,3.50,Mission: Impossible III,,Zack Synder's Justice League,John Wick: Chapter 4,Train to Busan,April '24,1,4.50,X-Men: The Last Stand,,Saltburn,Hit Man,Dirty Harry,April '25,0,,,,Transformers: Age of Extinction,,
May '19,18,3.83,Avengers: Infinity War,Avengers: Endgame,Anima,The Godfather,May '20,14,3.86,Bad Boys,The Nice Guys,Blade Runner,The Last Dance,Memories of Murder,May '21,11,3.82,Black Panther,,Avengers: Infinity War,In the Heights,Dragged Across Concrete,May '22,7,3.64,,,The Other Guys,Doctor Strange in the Multiverse of Madness,The Killing,May '23,5,4.20,Batman (1989),,Ocean's Eleven,Mission: Impossible - Dead Reckoning Pt. 1,Guardians of the Galaxy Vol. 3,May '24,1,3.50,X-Men Origins: Wolverine,,American Psycho,Beverly Hills Cop: Axel F,Triangle of Sadness,May '25,0,,,,Transformers: The Last Knight,,
June '19,42,4.23,Transformers: Revenge of the Fallen,Inglourious Basterds,Spider-Man: Far From Home,Vice,June '20,41,3.78,Ocean's 12,,Sicario,Palm Springs,"Lock, Stock, and Two Smoking Barrels",June '21,11,3.64,Ant-Man and the Wasp,,Avengers: Endgame,Fear Street: 1994,The Hateful Eight,June '22,12,3.63,,,The Nice Guys,The Adam Project,The Graduate,June '23,3,4.33,Surf's Up,,Iron Man,Oppenheimer,Spider-Man: Across the Spider-Verse,June '24,20,3.50,X-Men: First Class,,Tenet,Challengers,The Killing of a Sacred Deer,June '25,0,,,,Drive,,
July '19,12,3.54,Iron Man,Nightcrawler,The Lion King,"Synecdoche, New York",July '20,17,4.21,Bad Boys 2,,Avengers: Infinity War,Hamilton,Her,July '21,12,3.33,Kangaroo Jack,,Rush Hour,Black Widow,Jerry Maguire,July '22,4,3.88,,,Pulp Fiction,Hustle,Rocky,July '23,3,3.17,Cars,,Inception,Sound of Freedom,John Wick: Chapter 4,July '24,50,3.81,The Wolverine,,"Lock, Stock, and Two Smoking Barrels",Ghostbusters: Frozen Empire,Vanilla Sky,July '25,0,,,,,,
August '19,14,4.21,Iron Man 2,Se7en,Captain Marvel,Mulholland Drive,August '20,10,3.75,Ocean's 13,,Batman Begins,,The Assassination of Jesse James,August '21,18,3.83,Kabhi Khushi Khabhie Gham,,Spider-Man: Far From Home,Zack Snyder's Justice League,Judas and the Black Messiah,August '22,4,3.63,,,Old School,Spiderhead,The Exorcist,August '23,8,3.38,The Cat Concerto,,La La Land,Strays,Mission: Impossible - Dead Reckoning Pt. 1,August '24,35,3.64,X-Men: Days of Future Past,,Rounders,Deadpool and Wolverine,Modern Times,August '25,0,,,,,,
September '19,2,4.00,The Winter Soldier,Arrival,Once Upon a Time...in Hollywood,There Will Be Blood,September '20,5,4.60,Friday,,The Big Short,,The Talented Mr. Ripley,September '21,9,2.94,Grown Ups,,Captain Marvel,Fear Street: 1978,The Place Beyond the Pines,September '22,0,,,,Knives Out,Thor: Love and Thunder,Die Hard,September '23,9,3.44,,,It's A Wonderful Life,The Flash,Oppenheimer,September '24,26,3.52,X-Men: Apocalypse,,Alien,Alien: Romulus,Serpico,September '25,0,,,,,,
October '19,10,3.70,Age of Ultron,Prisoners,Joker,BlacKkKlansman,October '20,3,4.33,The Departed,,The Dark Knight,,POTC: Curse of the Black Pearl,October '21,5,3.50,21 Jump Street,,mother!,Luca,The Aviator,October '22,3,2.83,,,Memories of Murder,Top Gun: Maverick,Scarface,October '23,2,3.75,,,Interstellar,The Burial,The Flash,October '24,4,3.00,Logan,,2001: A Space Odyssey,Terrifer 3,Contact,October '25,0,,,,,,
