order_id,title,rating
702,Goodfellas,100
631,Dear Basketball,100
628,Save Ralph,100
464,It's a Wonderful Life,100
176,Parasite,100
117,Inception,100
74,Pulp Fiction,100
73,Inglorious Basterds,100
59,La La Land,100
52,Blade Runner 2049,100
3,Prisoners,100
102,Nightcrawler,99
87,Interstellar,99
44,Se7en,99
35,The Dark Knight,99
189,Ocean's Eleven,98
106,The Nice Guys,98
36,The Dark Knight Rises,98
697,Wallace and Gromit in A Close Shave,97
486,The Apartment,97
110,Star Wars,97
56,No Country for Old Men,97
55,The Godfather,97
48,Blade Runner,97
629,Bao,96
462,M,96
320,Dr. Strangelove,96
311,Spirited Away,96
248,Kiss Kiss Bang Bang,96
222,Oldboy,96
136,12 Angry Men,96
70,The Big Short,96
49,Iron Man,96
1,Arrival,96
684,The Yankee Doodle Mouse,95
630,The Cat Concerto,95
522,Top Gun: Maverick,95
490,The Batman,95
480,The Hunt,95
466,The Bridge on the River Kwai,95
436,Casablanca,95
425,A Clockwork Orange,95
401,The Manchurian Candidate,95
396,The Maltese Falcon,95
368,Kabhi Khushi Khabhie Gham,95
313,North by Northwest,95
212,1917,95
197,Drive,95
182,Ford v. Ferrari,95
109,Toy Story,95
65,Dunkirk,95
38,Avengers: Infinity War,95
25,The Edge of Seventeen,95
699,The French Connection,94
657,Logan,94
591,Cars,94
582,The King of Comedy,94
546,Sunset Boulevard,94
713,The Iron Giant,93
680,Mouse Trouble,93
190,Marriage Story,93
116,Memento,93
108,Hereditary,93
92,BlacKkKlansman,93
784,Cinema Paradiso,92
718,Gladiator,92
672,The Goonies,92
568,Spider-Man: Across the Spider-Verse,92
389,Another Round,92
357,The Hateful Eight,92
300,Indiana Jones and the Temple of Doom,92
287,War for the Planet of the Apes,92
113,Spider-Man: Into the Spider-Verse,92
740,Magnolia,91
646,Dune: Part Two,91
611,Poor Things,91
503,"Everything, Everywhere, All At Once",91
479,Lost in Translation,91
419,DUNE,91
223,Toy Story 4,91
88,There Will Be Blood,91
62,Avengers: Endgame,91
639,Anatomy of a Fall,90
583,Wildlife,90
543,"""Sr.""",90
542,Cha Cha Real Smooth,90
440,Spider-Man: No Way Home,90
362,The Place Beyond the Pines,89
478,Brick,88
467,Charade,88
127,Mission Impossible: Ghost Protocol,88
85,Fargo,88
46,Sicario,88
42,Whiplash,88
7,The Grand Budapest Hotel,88
468,The Killing,87
463,The Great Dictator,87
314,Monty Python and the Holy Grail,87
306,The Godfather Part II,87
247,Rear Window,87
188,The Meyerowitz Stories (New and Selected),87
173,Phantom Thread,87
98,The Girl with the Dragon Tattoo,87
89,Kill Bill: Vol. 1,87
45,Mad Max: Fury Road,87
721,Akira,86
719,Willy Wonka and the Chocolate Factory,86
501,Fantastic Mr. Fox,86
494,Belfast,86
475,Leon: The Professional,86
310,"The Good, the Bad, and the Ugly",86
298,Raiders of the Lost Ark,86
290,Tropic Thunder,86
211,Friday,86
162,Nocturnal Animals,86
149,Superbad,86
146,Rush Hour,86
135,Incendies,86
101,The Wolf of Wall Street,86
100,Terminator 2: Judgement Day,86
57,The Prestige,86
29,Gone Girl,86
22,Room,86
741,High and Low,85
720,Ordinary People,85
673,Vanilla Sky,85
642,Planet of the Apes,85
530,After Hours,85
481,Portrait of a Lady on Fire,85
301,The Handmaiden,85
257,mother!,85
220,The Empire Strikes Back,85
205,Knives Out,85
169,The Game,85
133,Seven Samurai,85
119,Punch-Drunk Love,85
115,Alien,85
90,The Silence of the Lambs,85
20,Zodiac,85
6,12 Years a Slave,85
696,Wallace and Gromit in The Wrong Trousers,84
655,X-Men: Days of Future Past,84
648,Training Day,84
626,The Cabinet of Dr. Caligari,84
571,Oppenheimer,84
496,Primer,84
458,The General,84
439,Spencer,84
406,Spider-Man 2,84
339,TENET,84
326,The Conversation,84
323,Boyz n the Hood,84
316,Chinatown,84
217,The Departed,84
207,2001: A Space Odyssey,84
160,Ex Machina,84
124,Aliens,84
107,Wind River,84
103,The Revenant,84
51,The Avengers,84
41,Casino Royale,84
13,Enemy,84
712,Butch Cassidy and the Sundance Kid,83
664,Puss in Boots: The Last Wish,83
643,Nope,83
637,Lawrence of Arabia,83
545,GdT's Pinocchio,83
538,Babylon,83
482,Da 5 Bloods,83
355,Promising Young Woman,83
305,Jaws,83
280,The Return of the King,83
259,Harry Potter and the Prisoner of Azkaban,83
202,Ocean's Twelve,83
185,Hell or High Water,83
104,The Shining,83
95,A Star is Born,83
27,Birdman,83
765,Alien: Romulus,82
760,Dr. Jekyll and Mr. Mouse,82
747,Society of the Snow,82
727,Rosemary's Baby,82
700,Carol,82
692,The Lady Vanishes,82
665,La Jetee,82
556,Shrek,82
512,Mr. & Mrs. Smith,82
505,Demon Slayer - The Movie: Mugen Train,82
421,The Lobster,82
365,The Trial of the Chicago 7,82
360,Judas and the Black Messiah,82
342,Soul,82
297,The Hunt for Red October,82
294,Escape from New York,82
281,The Adventures of Tintin,82
272,Harry Potter and the Deathly Hallows Part 1,82
260,Argo,82
231,Memories of Murder,82
215,Skyfall,82
208,10 Cloverfield Lane,82
148,Good Time,82
139,Boogie Nights,82
31,American Psycho,82
783,Past Lives,81
752,Paths of Glory,81
707,Tee for Two,81
669,Triangle of Sadness,81
612,The Holdovers,81
607,Saltburn,81
567,Oblivion,81
366,Andhadhun,81
347,Spider-Man: Homecoming,81
239,Her,81
235,Dial M for Murder,81
142,Snowpiercer,81
754,The Wizard of Oz,80
682,The Million Dollar Cat,80
564,Guardians of the Galaxy Vol. 3,80
402,The Green Knight,80
384,The Queen's Gambit,80
307,The Last Dance,80
228,Little Women,80
225,The Two Popes,80
477,Eyes Wide Shut,79
403,21 Jump Street,79
181,Manchester by the Sea,79
153,Airplane!,79
132,The Third Man,79
14,Children of Men,79
787,Wallace & Gromit: Vengeance Most Fowl,78
563,Tucker and Dale vs. Evil,78
404,22 Jump Street,78
334,Guardians of the Galaxy,78
184,Uncut Gems,78
183,Inside Llewyn Davis,78
163,Rounders,78
151,Taxi Driver,78
80,Edge of Tomorrow,78
19,Moon,78
18,Gone Baby Gone,78
8,Django Unchained,78
789,The Driver,77
724,Wallace and Gromit in The Curse of the Were-Rabbit,77
531,Network,77
526,Smile,77
459,The Invisible Man (2020),77
430,"tick, tick...BOOM!",77
394,Rope ,77
392,Double Indemnity,77
349,The Cabin in the Woods,77
302,A Quiet Place,77
286,Dawn of the Planet of the Apes,77
285,Layer Cake,77
241,Clue,77
237,"Lock, Stock, and Two Smoking Barrels",77
199,Rush Hour 2,77
194,Game Night,77
143,Logan Lucky,77
138,The Favourite,77
112,Kill Bill Vol. 2,77
83,Horrible Bosses,77
66,Psycho,77
39,Reservoir Dogs,77
788,Nosferatu,76
744,The Raid,76
731,Smokey and the Bandit,76
711,Deadpool and Wolverine,76
694,Challengers,76
691,Whiplash (2013),76
668,Risky Business,76
667,Dirty Harry,76
666,12 Monkeys,76
636,Barbie,76
573,Predestination,76
532,My Cousin Vinny,76
517,"Good Morning, Vietnam",76
465,The Searchers,76
444,No Time to Die,76
395,The Suicide Squad,76
391,Sanju,76
388,Polytechnique,76
341,Shutter Island,76
284,3:10 to Yuma,76
274,Heat,76
265,Harry Potter and the Goblet of Fire,76
264,Green Room,76
255,The Town,76
252,The Gentleman,76
233,Sherlock Jr.,76
227,Jojo Rabbit,76
226,How To Train Your Dragon: The Hidden World,76
193,"South Park: Bigger, Longer, Uncut",76
171,Fight Club,76
161,Star Wars: The Force Awakens,76
129,Collateral,76
96,The Thing,76
69,John Wick,76
34,Batman Begins,76
786,The Abyss,75
745,8 1/2,75
695,Goldfinger,75
677,Mice Follies,75
676,The Bear (1998),75
675,Shrek 2,75
641,Air Force One,75
598,Godzilla Minus One,75
570,Mission: Impossible - Dead Reckoning,75
560,Train to Busan,75
514,Mission: Impossible,75
493,The Fighter,75
474,Scarface,75
471,A Few Good Men,75
450,The Mitchells vs. the Machines,75
358,Jerry Maguire,75
321,Palm Springs,75
318,Raging Bull,75
273,Harry Potter and the Deathly Hallows Part 2,75
262,Napoleon Dynamite,75
242,The Talented Mr. Ripley,75
238,Vertigo,75
221,Citizen Kane,75
210,L.A. Confidential,75
165,One Flew Over the Cuckoo's Nest,75
152,Joker,75
128,"Three Billboards, outside Ebbing, Missouri",75
97,Paddington 2,75
79,Zombieland,75
43,Rain Man,75
779,Project X,74
777,Once Upon a Time in America,74
757,Spellbound,74
703,Deadpool,74
671,The Killing of a Sacred Deer,74
660,Werewolf By Night,74
622,American Fiction,74
619,A Trip to the Moon,74
615,Teenage Mutant Ninja Turtles: Mutant Meyhem ,74
613,Blackberry,74
601,Eileen,74
594,The Killer,74
586,Lady Bird,74
574,Sound of Freedom,74
561,Coherence,74
541,Emily the Criminal,74
483,Sound of Metal,74
418,Burn After Reading,74
371,A Quiet Place Part II,74
250,Insomnia,74
216,Pain and Glory,74
191,The Matrix,74
166,Incredibles 2,74
154,Ip Man,74
53,Captain America: The Winter Soldier,74
771,Fast Five,73
750,South Park: The 25th Anniversary Concert,73
729,Bride of Frankenstein,73
726,Sleuth (1972),73
716,The Missing Mouse,73
698,Wallace and Gromit in A Grand Day Out,73
678,Blue Cat Blues,73
659,Hit Man,73
653,X-Men: First Class,73
608,Maestro,73
600,Bottoms,73
597,Killers of the Flower Moon,73
534,Witness for the Prosecution,73
437,Hotel Rwanda,73
370,Bridge of Spies,73
344,Slumdog Millionaire,73
317,High Noon,73
308,Halloween,73
291,Unforgiven,73
268,Harry Potter and the Half-Blood Prince,73
251,Burning,73
245,Shine,73
218,Klaus,73
201,Hustlers,73
168,The Irishman,73
164,Moonlight,73
71,John Wick: Chapter 2,73
60,Captain America: Civil War,73
12,The Green Mile,73
785,A Real Pain,72
767,The Fast and The Furious,72
758,The Last Samurai,72
705,Don't Breathe,72
551,Roman J. Israel Esq.,72
510,Possessor,72
495,Jujutsu Kaisen 0,72
454,Licorice Pizza,72
420,First Man,72
363,The Aviator,72
299,For a Few Dollars More,72
277,The Two Towers,72
187,The Master,72
179,Ad Astra,72
175,The Lighthouse,72
126,Roma,72
64,Requiem for a Dream,72
61,Thor: Ragnarok,72
47,The Death of Stalin,72
638,All of Us Strangers,71
635,The Big Shave,71
592,The Cameraman,71
590,Surf's Up,71
557,The Invisible Man (1933),71
536,The Northman,71
499,Psych 3: This is Gus,71
438,The Last Duel,71
422,The Harder They Fall,71
375,In the Heights,71
374,Road to Perdition,71
322,The Pink Panther,71
282,World War Z,71
276,Just Mercy,71
240,The Assassination of Jesse James by the Coward Robert Ford,71
144,Once Upon A Time...in Hollywood,71
86,The Blues Brothers,71
746,"Crouching Tiger, Hidden Dragon",70
645,The Greatest Night in Pop,70
634,Steamboat Willie,70
627,Ferrari,70
595,Bye Bye Barry,70
565,Air,70
518,Hustle,70
497,Psych: The Movie,70
488,The Day the Earth Stood Still,70
337,Hamilton,70
156,Dolemite is My Name,70
130,Spider-Man: Far From Home,70
121,ANIMA,70
736,Force Majeure,69
469,The Graduate,69
460,Metropolis,69
405,Spider-Man,69
379,Panic Room,69
373,Gravity,69
275,The Fellowship of the Ring,69
140,Snatch,69
137,Jackie Brown,69
4,"Crazy, Stupid, Love",69
690,Bottle Rocket,68
585,Midnight in Paris,68
524,Bullet Train,68
393,Upgrade ,68
338,Doctor Strange,68
